class,id,date,query,name,tweet,tweet_fr
0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D","@switchfoot http://twitpic.com/2y1zl - Awww, c'est nul. Vous devriez avoir David Carr du troisième jour pour le faire. ;D"
0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,est contrarié qu'il ne puisse pas mettre à jour son Facebook en le texto... et pourrait pleurer en conséquence École aujourd'hui aussi.
0,1467810917,Mon Apr 06 22:19:53 PDT 2009,NO_QUERY,mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,@Kenichan J'ai plongé plusieurs fois pour la balle. A réussi à économiser 50% Le reste sortir des limites
0,1467811184,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,ElleCTF,my whole body feels itchy and like its on fire ,Tout mon corps se sent démangeant et comme sur le feu
0,1467811193,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,Karoli,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ","@nationwideclass non, ce n'est pas du tout se comporter. Je suis fou. Pourquoi suis-je ici? Parce que je ne peux pas vous voir partout là-bas."
0,1467811372,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,joy_wolf,@Kwesidei not the whole crew ,@Kwesidei pas tout l'équipage
0,1467811592,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,mybirch,Need a hug ,Besoin d'un câlin
0,1467811594,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,coZZ,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","@LOLTrish hey longtemps pas voir! Oui.. Pluie un peu, seulement un peu LOL, je vais bien merci, comment allez-vous?"
0,1467811795,Mon Apr 06 22:20:05 PDT 2009,NO_QUERY,2Hood4Hollywood,@Tatiana_K nope they didn't have it ,@Tatiana_K nope ils ne l'avaient pas
0,1467812025,Mon Apr 06 22:20:09 PDT 2009,NO_QUERY,mimismo,@twittera que me muera ? ,@twittera que me muera ?
0,1467812416,Mon Apr 06 22:20:16 PDT 2009,NO_QUERY,erinx3leannexo,spring break in plain city... it's snowing ,break de printemps dans la plaine de la ville... il neige
0,1467812579,Mon Apr 06 22:20:17 PDT 2009,NO_QUERY,pardonlauren,I just re-pierced my ears ,J'ai juste refait mes oreilles.
0,1467812723,Mon Apr 06 22:20:19 PDT 2009,NO_QUERY,TLeC,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,@caregiving Je ne pouvais pas supporter de le regarder. Et je pensais que la perte UA était embarrassante . . . . .
0,1467812771,Mon Apr 06 22:20:19 PDT 2009,NO_QUERY,robrobbierobert,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ","@octolinz16 Cela compte, si vous voulez pourquoi je l'ai fait non plus. vous ne me parlez plus jamais"
0,1467812784,Mon Apr 06 22:20:20 PDT 2009,NO_QUERY,bayofwolves,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.","@smarrison j'aurais été le premier, mais je n'avais pas d'arme. Pas vraiment, Zac Snyder n'est qu'un crétin."
0,1467812799,Mon Apr 06 22:20:20 PDT 2009,NO_QUERY,HairByJess,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,@iamjazzyfizzle J'aimerais pouvoir le regarder avec vous!! Vous me manquez et @iamlilnicki comment était la première?!
0,1467812964,Mon Apr 06 22:20:22 PDT 2009,NO_QUERY,lovesongwriter,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,La scène de la mort de Hollis me fera du mal de regarder sur le film. Les réalisateurs ne sont pas coupés maintenant ?
0,1467813137,Mon Apr 06 22:20:25 PDT 2009,NO_QUERY,armotley,about to file taxes ,sur le point de produire des taxes
0,1467813579,Mon Apr 06 22:20:31 PDT 2009,NO_QUERY,starkissed,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,@LettyA ahh ive a toujours voulu voir louer l'amour de la bande son!!
0,1467813782,Mon Apr 06 22:20:34 PDT 2009,NO_QUERY,gi_gi_bee,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,@FakerPattyPattz Oh ma chère. Vous buvez des boissons de table oubliées ?
0,1467813985,Mon Apr 06 22:20:37 PDT 2009,NO_QUERY,quanvu,@alydesigns i was out most of the day so didn't get much done ,@alydesigns j'étais dehors la plupart du temps donc n'a pas beaucoup fait
0,1467813992,Mon Apr 06 22:20:38 PDT 2009,NO_QUERY,swinspeedx,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ","Un de mes amis m'a appelé, et m'a demandé de la rencontrer à Mid Valley aujourd'hui... mais je n'ai pas le temps *soupir*"
0,1467814119,Mon Apr 06 22:20:40 PDT 2009,NO_QUERY,cooliodoc,@angry_barista I baked you a cake but I ated it ,@angry_barista Je t'ai fait un gâteau mais je l'ai mangé.
0,1467814180,Mon Apr 06 22:20:40 PDT 2009,NO_QUERY,viJILLante,this week is not going as i had hoped ,cette semaine ne va pas comme je l'avais espéré
0,1467814192,Mon Apr 06 22:20:41 PDT 2009,NO_QUERY,Ljelli3166,blagh class at 8 tomorrow ,Cours de blagh à 8 heures demain
0,1467814438,Mon Apr 06 22:20:44 PDT 2009,NO_QUERY,ChicagoCubbie,I hate when I have to call and wake people up ,Je déteste quand je dois appeler et réveiller les gens
0,1467814783,Mon Apr 06 22:20:50 PDT 2009,NO_QUERY,KatieAngell,Just going to cry myself to sleep after watching Marley and Me.  ,Je vais me pleurer pour dormir après avoir regardé Marley et moi.
0,1467814883,Mon Apr 06 22:20:52 PDT 2009,NO_QUERY,gagoo,im sad now  Miss.Lilly,"Je suis triste, Mlle Lilly."
0,1467815199,Mon Apr 06 22:20:56 PDT 2009,NO_QUERY,abel209,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,Ooooh... LOL que Leslie... et ok je ne le referai plus pour que Leslie ne se fâche plus
0,1467815753,Mon Apr 06 22:21:04 PDT 2009,NO_QUERY,BaptisteTheFool,Meh... Almost Lover is the exception... this track gets me depressed every time. ,Presque Lover est l'exception... cette piste me fait déprimer à chaque fois.
0,1467815923,Mon Apr 06 22:21:07 PDT 2009,NO_QUERY,fatkat309,some1 hacked my account on aim  now i have to make a new one,Some1 a piraté mon compte sur le but maintenant je dois en faire un nouveau
0,1467815924,Mon Apr 06 22:21:07 PDT 2009,NO_QUERY,EmCDL,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,@alielayus Je veux aller promouvoir GEAR AND GROOVE mais malheureusement pas de promenade là-bas je pourrais aller à celui à Anaheim en mai si
0,1467815988,Mon Apr 06 22:21:09 PDT 2009,NO_QUERY,merisssa,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,Je pensais que dormir était une option demain mais je me rendais compte que ce n'est pas maintenant. évaluations le matin et travail dans l'après-midi!
0,1467816149,Mon Apr 06 22:21:11 PDT 2009,NO_QUERY,Pbearfox,@julieebaby awe i love you too!!!! 1 am here  i miss you,@julieebaby awe I love you too!!!! 1 am here je manque vous
0,1467816665,Mon Apr 06 22:21:21 PDT 2009,NO_QUERY,jsoo,@HumpNinja I cry my asian eyes to sleep at night ,@HumpNinja Je pleure mes yeux asiatiques pour dormir la nuit
0,1467816749,Mon Apr 06 22:21:20 PDT 2009,NO_QUERY,scarletletterm,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,"Ok, je suis malade et j'ai passé une heure assis sous la douche parce que j'étais trop malade pour tenir debout et retenir le vomi comme un champion."
0,1467817225,Mon Apr 06 22:21:27 PDT 2009,NO_QUERY,crosland_12,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,@cocomix04 mal vous raconter l'histoire plus tard pas une bonne journée et mal travailler pendant trois heures de plus...
0,1467817374,Mon Apr 06 22:21:30 PDT 2009,NO_QUERY,ajaxpro,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,@MissXu désolé! coucher heure est venu ici (GMT+1) http://is.gd/fNge
0,1467817502,Mon Apr 06 22:21:32 PDT 2009,NO_QUERY,Tmttq86,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,@fleurylis Je ne le fais pas non plus. C'est déprimant. Je ne pense même pas vouloir savoir pour les enfants dans les valises.
0,1467818007,Mon Apr 06 22:21:39 PDT 2009,NO_QUERY,Anthony_Nguyen,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,Lit. Classe 8-12. Travail 12-3. Gym 3-5 ou 6. Puis classe 6-10. Un autre jour qui va passer. Ma petite amie me manque
0,1467818020,Mon Apr 06 22:21:39 PDT 2009,NO_QUERY,itsanimesh,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,Je n'ai vraiment pas envie de me lever aujourd'hui... mais d'étudier pour l'examen pratique de demain...
0,1467818481,Mon Apr 06 22:21:46 PDT 2009,NO_QUERY,lionslamb,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,Il est la raison pour laquelle les gouttes de larme sur ma guitare le seul qui a assez de moi pour me briser le cœur
